iter	Logloss
0	0.4320873093
1	0.3467014335
2	0.3167399984
3	0.2979294712
4	0.2836977533
5	0.2736125006
6	0.2652674901
7	0.2584395112
8	0.2534931841
9	0.2492316713
10	0.2456064872
11	0.2433021475
12	0.2357505112
13	0.2343334219
14	0.2329910228
15	0.2313160008
16	0.2293125684
17	0.2276140338
18	0.2266918021
19	0.2248728497
20	0.2238359174
21	0.2224603476
22	0.2220594178
23	0.2212671886
24	0.2201022564
25	0.2198910385
26	0.2148061498
27	0.2138752194
28	0.2116179924
29	0.2108167997
30	0.2098203908
31	0.2091760404
32	0.2082851326
33	0.207498253
34	0.2069654313
35	0.2057596105
36	0.2052863072
37	0.2045142054
38	0.2039303691
39	0.2030914316
40	0.2021337223
41	0.2015319391
42	0.2002149608
43	0.1998023012
44	0.1992927562
45	0.1989321918
46	0.1972790978
47	0.1967428378
48	0.1946888651
49	0.1941582708
50	0.1934688977
51	0.1926331196
52	0.1919455391
53	0.1913942808
54	0.1909956697
55	0.1902454525
56	0.1880823742
57	0.1855154368
58	0.184480239
59	0.1839172856
60	0.1830913901
61	0.1827013457
62	0.1820904161
63	0.180494992
64	0.180081086
65	0.1796622686
66	0.1786398743
67	0.1781748167
68	0.1776350778
69	0.1773794413
70	0.1765499707
71	0.1762837274
72	0.1760082106
73	0.1757611246
74	0.1750478584
75	0.1740471234
76	0.1735775125
77	0.1735561046
78	0.1730108868
79	0.1726755166
80	0.1718457574
81	0.1706200567
82	0.1696989099
83	0.1689168205
84	0.1686139515
85	0.1681816189
86	0.1675897948
87	0.1673274409
88	0.1668660433
89	0.1662388738
90	0.1659494855
91	0.1654808229
92	0.1652167788
93	0.1647774683
94	0.1645890469
95	0.1644630707
96	0.1641443662
97	0.1638315747
98	0.1634746207
99	0.1628371509
