iter	Passed	Remaining
0	138	13703
1	152	7458
2	166	5388
3	179	4319
4	193	3678
5	207	3245
6	220	2926
7	233	2684
8	246	2488
9	259	2331
10	271	2194
11	283	2078
12	295	1980
13	309	1899
14	321	1821
15	332	1745
16	344	1683
17	357	1630
18	370	1579
19	382	1531
20	395	1488
21	407	1445
22	420	1406
23	432	1368
24	443	1329
25	452	1288
26	463	1252
27	474	1219
28	484	1185
29	494	1153
30	504	1122
31	515	1094
32	524	1064
33	532	1033
34	541	1005
35	550	979
36	559	953
37	568	928
38	576	902
39	586	879
40	596	857
41	604	834
42	613	813
43	621	790
44	630	770
45	639	751
46	649	732
47	657	712
48	667	694
49	677	677
50	686	659
51	696	642
52	706	626
53	716	610
54	726	594
55	735	578
56	744	561
57	752	544
58	761	529
59	770	513
60	778	497
61	788	483
62	799	469
63	808	455
64	817	440
65	827	426
66	836	411
67	845	397
68	854	383
69	862	369
70	872	356
71	881	342
72	890	329
73	899	316
74	909	303
75	918	290
76	927	277
77	935	263
78	945	251
79	953	238
80	962	225
81	971	213
82	980	200
83	991	188
84	1000	176
85	1011	164
86	1019	152
87	1030	140
88	1038	128
89	1047	116
90	1056	104
91	1065	92
92	1073	80
93	1083	69
94	1091	57
95	1099	45
96	1108	34
97	1115	22
98	1125	11
99	1133	0
