url_length,path_length,ip_present,number_of_digits,number_of_parameters,number_of_fragments,is_url_encoded,number_encoded_char,host_length,number_of_periods,has_client,has_admin,has_server,has_login,number_of_dashes,have_at_sign,is_tiny_url,number_of_spaces,number_of_zeros,number_of_uppercase,number_of_lowercase,number_of_double_slashes,target
55,20,0,0,0,0,0,0,28,3,0,0,0,0,1,0,0,0,0,0,47,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
30,1,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
30,0,0,0,0,0,0,0,23,2,0,0,0,0,1,0,0,0,0,0,24,1,0
27,1,0,0,0,0,0,0,19,2,0,0,0,0,0,0,0,0,0,0,21,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
29,1,0,0,0,0,0,0,21,2,0,0,0,0,0,0,0,0,0,0,23,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
38,14,0,2,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,29,1,0
61,37,0,4,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,47,1,0
30,0,0,0,0,0,0,0,23,2,0,0,0,0,0,0,0,0,0,0,25,1,0
22,0,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
39,12,0,0,0,0,0,0,20,4,0,0,0,0,0,0,0,0,0,0,31,1,0
22,1,0,0,0,0,0,0,14,2,0,0,0,0,1,0,0,0,0,0,15,1,0
31,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,26,1,0
33,1,0,0,0,0,0,0,25,2,0,0,0,0,2,0,0,0,0,0,25,1,0
24,1,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,18,1,0
25,1,0,0,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,19,1,0
51,16,0,0,0,0,0,0,28,3,0,0,0,0,0,0,0,0,0,0,44,1,0
35,11,0,3,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,25,1,0
30,1,0,0,0,0,0,0,22,2,0,0,0,0,0,0,0,0,0,0,24,1,0
35,12,0,0,0,0,0,0,16,2,0,0,0,0,0,0,0,0,0,0,28,1,0
42,15,0,4,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,30,1,0
20,0,0,0,0,0,0,0,13,1,0,0,0,0,1,0,0,0,0,0,15,1,0
31,0,0,0,0,0,0,0,24,2,0,0,0,0,0,0,0,0,0,0,26,1,0
46,22,0,4,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,32,1,0
27,9,0,0,0,0,0,0,11,2,0,0,0,0,0,0,0,0,0,0,21,1,0
28,1,0,0,0,0,0,0,20,2,0,0,0,0,0,0,0,0,0,0,22,1,0
40,1,0,0,0,0,0,0,32,2,0,0,0,0,2,0,0,0,0,0,32,1,0
44,20,0,0,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,36,1,0
43,17,0,5,0,0,0,0,19,4,0,0,0,0,0,0,0,0,1,0,28,1,0
19,0,0,0,0,0,0,0,12,2,0,0,0,0,0,0,0,0,0,0,14,1,0
23,1,0,0,0,0,0,0,15,2,0,0,0,0,0,0,0,0,0,0,17,1,0
26,1,0,0,0,0,0,0,18,2,0,0,0,0,0,0,0,0,0,0,20,1,0
63,41,0,6,0,0,0,0,15,2,0,0,0,0,0,0,0,0,2,0,45,1,0
47,22,0,0,0,0,0,0,18,4,0,0,0,0,0,0,0,0,0,0,36,1,0
50,26,0,1,0,0,0,0,17,3,0,0,0,0,0,0,0,0,0,0,40,1,0
29,1,0,0,0,0,0,0,21,3,0,0,0,0,0,0,0,0,0,0,22,1,0
42,18,0,2,0,0,0,0,17,2,0,0,0,0,1,0,0,0,0,0,31,1,0
42,18,0,2,0,0,0,0,17,2,0,0,0,0,0,0,0,0,0,0,32,1,0
40,1,0,1,0,0,0,0,32,2,0,0,0,0,3,0,0,0,0,0,30,1,0
